n,split,arquivo,caixa,largura,altura,texto,confianca,nota
1,test,images160_jpg.rf.af37fefe5b396a68038beba069a3134c.jpg,"[90.5, 255.0, 327.5, 351.0]",273,111,LQQ4J66,alta,
2,test,images80_jpg.rf.31f280955f4de670d0b4299e439233a3.jpg,"[158.0, 253.0, 302.0, 323.0]",166,81,RHA0A01,media,pos.4 e pos.6: O ou 0? resolvido pela regra LLLDLDD
3,test,17750975_jpg.rf.40818068d538a9d2cc1fe702e7c7757a.jpg,"[144.5, 196.5, 269.5, 241.5]",145,51,OOV0D55,media,pos.1-2 e pos.4: O vs 0 ambiguos; regra usada
4,test,NZW2197_jpg.rf.f7cdad4cd7f388eca3b9f4f65b2d5f87.jpg,"[151.0, 273.5, 273.0, 312.5]",141,45,NZW2197,alta,"formato antigo, BA-Salvador"
5,test,18674271_jpg.rf.3d580eca5bdf70aee0d256343912dbb4.jpg,"[173.5, 208.0, 272.5, 244.0]",113,40,HKV1E93,alta,
6,test,18583396_jpg.rf.c40ac7cf3504277ca5f2f8dff938372c.jpg,"[188.0, 204.5, 284.0, 239.5]",111,39,,baixa,ILEGIVEL: placa lavada por reflexo. Lido 'BCE7C' + 2 chars redondos indistinguiveis (00 ou GG). Deixado em branco de proposito
7,test,18068054_jpg.rf.a0da824ff34643134839ab1df41d86da.jpg,"[80.5, 161.5, 159.5, 202.5]",91,47,FPW4I75,alta,
8,test,20355938_jpg.rf.ac129267062426a5cee3ea4a7e9467e2.jpg,"[244.5, 267.0, 323.5, 305.0]",91,44,HLA0F38,media,letras vermelhas; pos.4 O vs 0 pela regra
9,test,17823145_jpg.rf.9ccad460fb2e712d40166296184fc7bb.jpg,"[166.0, 223.0, 260.0, 255.0]",108,35,NLO2I92,media,pos.3 O vs 0 pela regra
10,test,18086810_jpg.rf.11a1e82c760ae3bbbb69c1802765e116.jpg,"[207.5, 219.0, 300.5, 249.0]",107,34,DET1J98,alta,
11,test,17786080_jpg.rf.b6306855c3adec8dc4e522fd5ad53d52.jpg,"[94.5, 245.5, 183.5, 276.5]",103,35,NLM8374,alta,formato antigo
12,test,17861781_jpg.rf.da2eff8da2aba7b79c0c4fcad09005dd.jpg,"[162.0, 263.0, 252.0, 293.0]",104,34,INV2D80,alta,
13,test,17714652_jpg.rf.19069f427ed7c9301b8f812596ba3550.jpg,"[161.5, 171.5, 248.5, 202.5]",99,35,NZZ1133,alta,formato antigo
14,test,20350033_jpg.rf.8fb69ba5cdad53081208fc694274bfcd.jpg,"[178.5, 187.5, 259.5, 218.5]",93,35,PUM2782,media,formato antigo; 'U' pode ser lido como 'LI'
15,test,plate3_jpg.rf.353702e2396fb3483baadac58cece337.jpg,"[208.5, 171.5, 287.5, 200.5]",91,33,PXL1J75,alta,
16,test,17989126_jpg.rf.335492f60f4f7ea4118198f02ad15923.jpg,"[197.0, 185.0, 277.0, 213.0]",92,32,QHC3333,alta,formato antigo
17,valid,20210115_0919371036820_jpg.rf.fa1a215b70d14af473704b46e162680a.jpg,"[21.0, 103.5, 377.0, 224.5]",405,139,QOD0026,alta,"formato antigo, MG-Belo Horizonte"
18,valid,20210115_0915089354680_jpg.rf.dd59b86f2ac6d5caac437aa558fdb77a.jpg,"[26.0, 226.5, 330.0, 361.5]",352,155,JPV5902,alta,"formato antigo, BA-Vitoria da Conquista"
19,valid,PVX0095_jpg.rf.7ab97b5475d2b7bb51f8ab6c8274553d.jpg,"[13.5, 116.5, 368.5, 235.5]",396,137,PVX0095,alta,"formato antigo, GO-Goiania"
20,valid,20210115_0920314842690_jpg.rf.75ae42313cf9004f846bcadb9b28fc48.jpg,"[40.0, 207.0, 350.0, 313.0]",358,122,JSM2587,alta,"formato antigo, BA-Vitoria da Conquista"
21,valid,20210115_0916048177070_jpg.rf.3b3538e5eeaf3c0ee9e10a0a447fc85e.jpg,"[70.0, 0.0, 332.0, 108.0]",302,116,PLN9I88,alta,
22,valid,20210115_0916117200380_jpg.rf.2afb6924f0c3b20477a3a494998c2700.jpg,"[123.5, 308.0, 390.5, 406.0]",309,113,JRV2727,media,"formato antigo, placa desbotada"
23,valid,20210115_0917039766700_jpg.rf.139ed7405407caec6f4e15c9ab9b3b9e.jpg,"[59.5, 239.0, 334.5, 333.0]",319,109,RCS9D64,alta,letras vermelhas
24,valid,20210115_0917012590150_jpg.rf.0801d31d7d66066c0fd1bd9a639c20cd.jpg,"[103.5, 292.5, 338.5, 395.5]",271,119,NZW7017,alta,formato antigo
25,valid,20210115_0920304594080_jpg.rf.40f898055253890928f3db9d330e4e97.jpg,"[0.0, 141.0, 252.0, 227.0]",271,97,PJE9369,alta,formato antigo
26,valid,20210115_0916099385770_jpg.rf.cbb0563a1630cebe5c5393d4b90e2136.jpg,"[149.5, 280.5, 352.5, 373.5]",235,107,OKZ4H95,media,pos.1 O vs 0 pela regra
27,valid,20210115_0916572273870_jpg.rf.864908f31d491da5700206cfde0b4178.jpg,"[53.0, 233.5, 277.0, 316.5]",258,95,LPH8841,alta,"formato antigo, RJ-Teresopolis"
